NbrTotalDeCollection, AverageWeeksWithoutExchange, AverageWeeksWithExchange
1,1,1
2,1,1
3,1,1
4,2,1
5,2,2
6,3,2
7,4,3
8,4,3
9,5,4
10,6,4
11,7,4
12,7,5
13,8,6
14,9,6
15,10,6
16,11,7
17,12,7
18,13,8
19,14,9
20,14,9
21,15,10
22,16,10
23,17,10
24,18,11
25,19,12
26,20,12
27,21,12
28,22,13
29,22,13
30,24,14
31,25,15
32,26,15
33,27,16
34,28,16
35,29,16
36,30,17
37,31,18
38,32,18
39,33,18
40,34,19
41,36,20
42,37,20
43,37,21
44,38,21
45,39,22
46,40,22
47,41,23
48,43,23
49,44,24
50,45,24
51,46,25
52,47,25
53,49,26
54,49,26
55,50,27
56,52,27
57,52,28
58,54,28
59,55,29
60,56,29
61,56,30
62,58,30
63,60,31
64,61,31
65,62,32
66,62,32
67,64,33
68,64,33
69,66,34
70,68,34
71,69,35
72,69,35
73,71,36
74,73,36
75,73,37
76,75,37
77,75,38
78,77,38
79,79,39
80,80,39
81,81,40
82,82,40
83,84,41
84,84,41
85,85,42
86,86,43
87,87,43
88,90,43
89,90,44
90,91,44
91,91,45
92,94,46
93,95,46
94,95,47
95,97,47
96,100,48
97,101,48
98,103,49
99,103,49
100,104,49
101,106,50
102,106,51
103,108,51
104,108,51
105,108,52
106,112,53
107,112,53
108,113,54
109,115,54
110,116,55
111,116,55
112,119,56
113,119,56
114,121,57
115,122,57
116,123,58
117,124,58
118,128,59
119,127,59
120,130,60
121,131,61
122,131,61
123,132,62
124,136,62
125,136,62
126,135,63
127,138,63
128,137,64
129,139,64
130,144,65
131,143,65
132,145,66
133,146,66
134,147,67
135,146,68
136,150,68
137,149,69
138,151,69
139,154,69
140,154,70
141,154,71
142,157,71
143,160,72
144,160,72
145,161,72
146,162,73
147,163,74
148,164,74
149,165,75
150,168,75
151,169,76
152,172,76
153,169,77
154,173,77
155,174,78
156,177,78
157,177,79
158,180,79
159,179,80
160,183,80
161,182,81
162,185,81
163,183,82
164,186,82
165,187,83
166,188,83
167,189,84
168,193,84
169,192,85
170,195,85
171,196,86
172,197,86
173,200,87
174,199,88
175,200,88
176,201,89
177,203,89
178,205,90
179,205,90
180,207,90
181,208,91
182,209,91
183,213,92
184,215,92
185,212,93
186,221,94
187,217,94
188,216,95
189,220,95
190,221,96
191,224,96
192,225,97
193,226,97
194,225,98
195,227,98
196,231,99
197,232,99
198,232,100
199,232,100
200,237,100
201,234,102
202,238,102
203,239,102
204,239,103
205,242,103
206,244,104
207,240,104
208,247,105
209,249,105
210,250,106
211,253,106
212,248,107
213,252,107
214,253,108
215,257,108
216,257,109
217,257,109
218,264,110
219,261,110
220,264,111
221,261,111
222,265,112
223,268,113
224,267,113
225,268,114
226,269,114
227,275,114
228,272,115
229,274,115
230,278,116
231,276,117
232,280,117
233,277,117
234,282,118
235,283,119
236,283,119
237,288,120
238,287,120
239,289,121
240,288,121
241,291,122
242,292,122
243,297,122
244,298,123
245,295,124
246,300,124
247,299,125
248,301,125
249,302,126
250,307,126
251,304,127
252,311,127
253,309,128
254,309,128
255,310,129
256,317,130
257,315,130
258,317,130
259,314,131
260,321,131
261,323,132
262,327,133
263,317,133
264,324,134
265,329,134
266,327,135
267,329,135
268,331,135
269,332,136
270,334,137
271,334,137
272,339,138
273,340,138
274,346,139
275,343,140
276,339,140
277,345,140
278,344,141
279,350,141
280,348,142
281,349,142
282,352,143
283,350,143
284,352,144
285,355,144
286,361,145
287,358,145
288,360,146
289,360,147
290,360,147
291,365,148
292,365,148
293,371,148
294,371,149
295,372,150
296,374,150
297,371,151
298,373,151
299,376,152
300,377,152
301,378,152
302,376,153
303,384,153
304,390,154
305,383,155
306,387,155
307,385,155
308,386,156
309,391,156
310,393,157
311,396,158
312,392,158
313,397,159
314,401,159
315,404,159
316,405,161
317,404,161
318,408,161
319,404,162
320,402,162
321,409,163
322,410,163
323,411,164
324,410,164
325,418,165
326,413,166
327,418,166
328,422,166
329,418,167
330,421,168
331,420,167
332,429,168
333,429,169
334,427,169
335,428,170
336,427,170
337,433,171
